Index,Album,Folder,Original Photo,Source,Output,Original Size,Output Size
284,Monomial,monomial,DSC_1855.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1855.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0284_DSC_1855.webp,8256x4640,2048x1151
285,Monomial,monomial,DSC_1869.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1869.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0285_DSC_1869.webp,8256x4640,2048x1151
286,Intersection,intersection,DSC_1870.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1870.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0286_DSC_1870.webp,4640x8256,1151x2048
287,Monomial,monomial,DSC_1872.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1872.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0287_DSC_1872.webp,8256x4640,2048x1151
288,Intersection,intersection,DSC_1875.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1875.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0288_DSC_1875.webp,4161x7403,1151x2048
289,Mode,mode,DSC_1880.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1880.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\mode\0289_DSC_1880.webp,8108x3392,2048x857
290,Intersection,intersection,DSC_1887.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1887.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0290_DSC_1887.webp,8256x4640,2048x1151
291,Monomial,monomial,DSC_1896.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1896.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0291_DSC_1896.webp,8002x4497,2048x1151
292,Monomial,monomial,DSC_1897.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1897.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0292_DSC_1897.webp,4232x7530,1151x2048
293,Yardstick Metric,yardstick-metric,DSC_1900.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1900.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0293_DSC_1900.webp,4166x7413,1151x2048
294,Monomial,monomial,DSC_1921.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1921.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0294_DSC_1921.webp,4640x8256,1151x2048
295,Monomial,monomial,DSC_1926.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1926.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0295_DSC_1926.webp,4640x8256,1151x2048
296,Monomial,monomial,DSC_1927.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1927.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\monomial\0296_DSC_1927.webp,4558x8111,1151x2048
297,Yardstick Metric,yardstick-metric,DSC_1928.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1928.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0297_DSC_1928.webp,8111x4558,2048x1151
298,Yardstick Metric,yardstick-metric,DSC_1935.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1935.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0298_DSC_1935.webp,8112x4559,2048x1151
299,Intersection,intersection,DSC_1938.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1938.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0299_DSC_1938.webp,8256x4640,2048x1151
300,Intersection,intersection,DSC_1947.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1947.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0300_DSC_1947.webp,8256x4640,2048x1151
301,Intersection,intersection,DSC_1953.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1953.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\intersection\0301_DSC_1953.webp,8256x4640,2048x1151
302,Yardstick Metric,yardstick-metric,DSC_1972.jpg,C:\Users\jimmy\Pictures\Image_Output\DSC_1972.jpg,C:\Users\jimmy\Pictures\BlogFile\source\images\albums\yardstick-metric\0302_DSC_1972.webp,7939x4462,2048x1151
