Album,Folder,Source,Output,Texture,Original Photo,Timestamp
Monomial,monomial,..\Image_Output\IMG_8564-已增强-降噪.jpg,source\images\albums\monomial\0113_IMG_8564-已增强-降噪.webp,,IMG_8564-已增强-降噪,00:13.067
Monomial,monomial,..\Image_Output\DSC_8917.jpg,source\images\albums\monomial\0114_DSC_8917.webp,,DSC_8917,00:13.183
Monomial,monomial,..\Image_Output\DSC_8942.jpg,source\images\albums\monomial\0116_DSC_8942.webp,,DSC_8942,00:13.417
Intersection,intersection,..\Image_Output\DSC_0964.jpg,source\images\albums\intersection\0117_DSC_0964.webp,,DSC_0964,00:13.533
Magnitude,magnitude,..\Image_Output\DSC_0377-DxO_DeepPRIME 3.jpg,source\images\albums\magnitude\0120_DSC_0377-DxO_DeepPRIME 3.webp,,DSC_0377-DxO_DeepPRIME 3,00:13.883
Intersection,intersection,..\Image_Output\DSC_1074.jpg,source\images\albums\intersection\0125_DSC_1074.webp,,DSC_1074,00:14.467
Magnitude,magnitude,..\Image_Output\DSC_0725.jpg,source\images\albums\magnitude\0126_DSC_0725.webp,,DSC_0725,00:14.583
Mode,mode,..\Image_Output\IMG_8544-已增强-降噪.jpg,source\images\albums\mode\0129_IMG_8544-已增强-降噪.webp,,IMG_8544-已增强-降噪,00:14.933
Magnitude,magnitude,..\Image_Output\DSC_0350-DxO_DeepPRIME 3.jpg,source\images\albums\magnitude\0130_DSC_0350-DxO_DeepPRIME 3.webp,,DSC_0350-DxO_DeepPRIME 3,00:15.050
Magnitude,magnitude,..\Image_Output\DSC_0368-DxO_DeepPRIME 3.jpg,source\images\albums\magnitude\0131_DSC_0368-DxO_DeepPRIME 3.webp,,DSC_0368-DxO_DeepPRIME 3,00:15.167
Magnitude,magnitude,..\Image_Output\DSC_0263.jpg,source\images\albums\magnitude\0133_DSC_0263.webp,,DSC_0263,00:15.400
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_7219.jpg,source\images\albums\jacobi-matrix\0134_DSC_7219.webp,,DSC_7219,00:15.517
Mode,mode,..\Image_Output\DSC_0219.jpg,source\images\albums\mode\0136_DSC_0219.webp,,DSC_0219,00:15.750
Monomial,monomial,..\Image_Output\DSC_9863-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\monomial\0137_DSC_9863-DxO_DeepPRIME XD2s_XD.webp,,DSC_9863-DxO_DeepPRIME XD2s_XD,00:15.867
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0419.jpg,source\images\albums\jacobi-matrix\0138_DSC_0419.webp,,DSC_0419,00:15.983
Intersection,intersection,..\Image_Output\IMG_9297.jpg,source\images\albums\intersection\0141_IMG_9297.webp,,IMG_9297,00:16.333
Monomial,monomial,..\Image_Output\DSC_9802-DxO_DeepPRIME 3.jpg,source\images\albums\monomial\0142_DSC_9802-DxO_DeepPRIME 3.webp,,DSC_9802-DxO_DeepPRIME 3,00:16.450
Monomial,monomial,..\Image_Output\DSC_0978.jpg,source\images\albums\monomial\0143_DSC_0978.webp,,DSC_0978,00:16.567
Intersection,intersection,..\Image_Output\IMG_8878.jpg,source\images\albums\intersection\0144_IMG_8878.webp,,IMG_8878,00:16.683
Intersection,intersection,..\Image_Output\DSC_9446-DxO_DeepPRIME 3.jpg,source\images\albums\intersection\0145_DSC_9446-DxO_DeepPRIME 3.webp,,DSC_9446-DxO_DeepPRIME 3,00:16.800
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_9355.jpg,source\images\albums\yardstick-metric\0147_IMG_9355.webp,,IMG_9355,00:17.033
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_8097-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\yardstick-metric\0148_DSC_8097-DxO_DeepPRIME XD2s_XD.webp,,DSC_8097-DxO_DeepPRIME XD2s_XD,00:17.150
Monomial,monomial,..\Image_Output\DSC_0264.jpg,source\images\albums\monomial\0149_DSC_0264.webp,,DSC_0264,00:17.267
Monomial,monomial,..\Image_Output\DSC_0193.jpg,source\images\albums\monomial\0152_DSC_0193.webp,,DSC_0193,00:17.617
Intersection,intersection,..\Image_Output\DSC_0142.jpg,source\images\albums\intersection\0153_DSC_0142.webp,,DSC_0142,00:17.733
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_8116-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\yardstick-metric\0156_DSC_8116-DxO_DeepPRIME XD2s_XD.webp,,DSC_8116-DxO_DeepPRIME XD2s_XD,00:18.083
Monomial,monomial,..\Image_Output\IMG_9309.jpg,source\images\albums\monomial\0157_IMG_9309.webp,,IMG_9309,00:18.200
Monomial,monomial,..\Image_Output\IMG_9215.jpg,source\images\albums\monomial\0158_IMG_9215.webp,,IMG_9215,00:18.317
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0139.jpg,source\images\albums\jacobi-matrix\0160_DSC_0139.webp,,DSC_0139,00:18.550
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_9287.jpg,source\images\albums\yardstick-metric\0162_IMG_9287.webp,,IMG_9287,00:18.783
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0420.jpg,source\images\albums\jacobi-matrix\0167_DSC_0420.webp,,DSC_0420,00:19.367
Monomial,monomial,..\Image_Output\DSC_8402.jpg,source\images\albums\monomial\0168_DSC_8402.webp,,DSC_8402,00:19.483
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_8925.jpg,source\images\albums\yardstick-metric\0169_IMG_8925.webp,,IMG_8925,00:19.600
Intersection,intersection,..\Image_Output\IMG_9331.jpg,source\images\albums\intersection\0170_IMG_9331.webp,,IMG_9331,00:19.717
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_9384.jpg,source\images\albums\yardstick-metric\0172_IMG_9384.webp,,IMG_9384,00:19.950
Magnitude,magnitude,..\Image_Output\IMG_9385.jpg,source\images\albums\magnitude\0174_IMG_9385.webp,,IMG_9385,00:20.183
Intersection,intersection,..\Image_Output\IMG_9377.jpg,source\images\albums\intersection\0176_IMG_9377.webp,,IMG_9377,00:20.417
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_9423.jpg,source\images\albums\yardstick-metric\0182_DSC_9423.webp,,DSC_9423,00:21.117
Intersection,intersection,..\Image_Output\DSC_0457.jpg,source\images\albums\intersection\0183_DSC_0457.webp,,DSC_0457,00:21.233
Monomial,monomial,..\Image_Output\DSC_0710.jpg,source\images\albums\monomial\0187_DSC_0710.webp,,DSC_0710,00:21.700
Monomial,monomial,..\Image_Output\star_finished.jpg,source\images\albums\monomial\0188_star_finished.webp,,star_finished,00:21.817
Monomial,monomial,..\Image_Output\DSC_8873.jpg,source\images\albums\monomial\0191_DSC_8873.webp,,DSC_8873,00:22.167
Monomial,monomial,..\Image_Output\IMG_8894.jpg,source\images\albums\monomial\0192_IMG_8894.webp,,IMG_8894,00:22.283
Mode,mode,..\Image_Output\DSC_0763.jpg,source\images\albums\mode\0193_DSC_0763.webp,,DSC_0763,00:22.400
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_7077.jpg,source\images\albums\yardstick-metric\0194_DSC_7077.webp,,DSC_7077,00:22.517
Mode,mode,..\Image_Output\DSC_0689.jpg,source\images\albums\mode\0196_DSC_0689.webp,,DSC_0689,00:22.750
Intersection,intersection,..\Image_Output\DSC_1005.jpg,source\images\albums\intersection\0197_DSC_1005.webp,,DSC_1005,00:22.867
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_8118-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\yardstick-metric\0198_DSC_8118-DxO_DeepPRIME XD2s_XD.webp,,DSC_8118-DxO_DeepPRIME XD2s_XD,00:22.983
Intersection,intersection,..\Image_Output\DSC_1016.jpg,source\images\albums\intersection\0199_DSC_1016.webp,,DSC_1016,00:23.100
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_8415.jpg,source\images\albums\jacobi-matrix\0200_DSC_8415.webp,,DSC_8415,00:23.217
Monomial,monomial,..\Image_Output\DSC_9068.jpg,source\images\albums\monomial\0201_DSC_9068.webp,,DSC_9068,00:23.333
Intersection,intersection,..\Image_Output\20250830-DSC_9084.jpg,source\images\albums\intersection\0202_20250830-DSC_9084.webp,,20250830-DSC_9084,00:23.450
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_8123-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\yardstick-metric\0203_DSC_8123-DxO_DeepPRIME XD2s_XD.webp,,DSC_8123-DxO_DeepPRIME XD2s_XD,00:23.567
Monomial,monomial,..\Image_Output\IMG_9413.jpg,source\images\albums\monomial\0204_IMG_9413.webp,,IMG_9413,00:23.683
Monomial,monomial,..\Image_Output\20250830-DSC_9106.jpg,source\images\albums\monomial\0207_20250830-DSC_9106.webp,,20250830-DSC_9106,00:24.033
Monomial,monomial,..\Image_Output\20250830-DSC_9099.jpg,source\images\albums\monomial\0208_20250830-DSC_9099.webp,,20250830-DSC_9099,00:24.150
Monomial,monomial,..\Image_Output\DSC_9751-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\monomial\0209_DSC_9751-DxO_DeepPRIME XD2s_XD.webp,,DSC_9751-DxO_DeepPRIME XD2s_XD,00:24.267
Intersection,intersection,..\Image_Output\IMG_9426.jpg,source\images\albums\intersection\0210_IMG_9426.webp,,IMG_9426,00:24.383
Intersection,intersection,..\Image_Output\20250830-DSC_9081.jpg,source\images\albums\intersection\0213_20250830-DSC_9081.webp,,20250830-DSC_9081,00:24.733
Monomial,monomial,..\Image_Output\DSC_9543-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\monomial\0215_DSC_9543-DxO_DeepPRIME XD2s_XD.webp,,DSC_9543-DxO_DeepPRIME XD2s_XD,00:24.967
Monomial,monomial,..\Image_Output\DSC_1021.jpg,source\images\albums\monomial\0217_DSC_1021.webp,,DSC_1021,00:25.200
Mode,mode,..\Image_Output\DSC_0058.jpg,source\images\albums\mode\0218_DSC_0058.webp,,DSC_0058,00:25.317
Mode,mode,..\Image_Output\DSC_0232.jpg,source\images\albums\mode\0219_DSC_0232.webp,,DSC_0232,00:25.433
Monomial,monomial,..\Image_Output\DSC_0767.jpg,source\images\albums\monomial\0221_DSC_0767.webp,,DSC_0767,00:25.667
Intersection,intersection,..\Image_Output\DSC_0769.jpg,source\images\albums\intersection\0222_DSC_0769.webp,,DSC_0769,00:25.783
Mode,mode,..\Image_Output\DSC_9702-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\mode\0223_DSC_9702-DxO_DeepPRIME XD2s_XD.webp,,DSC_9702-DxO_DeepPRIME XD2s_XD,00:25.900
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_8109-DxO_DeepPRIME XD2s_XD.jpg,source\images\albums\jacobi-matrix\0225_DSC_8109-DxO_DeepPRIME XD2s_XD.webp,,DSC_8109-DxO_DeepPRIME XD2s_XD,00:26.133
Monomial,monomial,..\Image_Output\DSC_0737.jpg,source\images\albums\monomial\0226_DSC_0737.webp,,DSC_0737,00:26.250
Yardstick Metric,yardstick-metric,..\Image_Output\DSC_9414-DxO_DeepPRIME 3.jpg,source\images\albums\yardstick-metric\0227_DSC_9414-DxO_DeepPRIME 3.webp,,DSC_9414-DxO_DeepPRIME 3,00:26.367
Monomial,monomial,..\Image_Output\DSC_0768.jpg,source\images\albums\monomial\0228_DSC_0768.webp,,DSC_0768,00:26.483
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0168.jpg,source\images\albums\jacobi-matrix\0229_DSC_0168.webp,,DSC_0168,00:26.600
Intersection,intersection,..\Image_Output\DSC_0748.jpg,source\images\albums\intersection\0230_DSC_0748.webp,,DSC_0748,00:26.717
Intersection,intersection,..\Image_Output\DSC_0173.jpg,source\images\albums\intersection\0231_DSC_0173.webp,,DSC_0173,00:26.833
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0416.jpg,source\images\albums\jacobi-matrix\0232_DSC_0416.webp,,DSC_0416,00:26.950
Mode,mode,..\Image_Output\IMG_9288.jpg,source\images\albums\mode\0234_IMG_9288.webp,,IMG_9288,00:27.183
Intersection,intersection,..\Image_Output\DSC_8563.jpg,source\images\albums\intersection\0236_DSC_8563.webp,,DSC_8563,00:27.417
Jacobi Matrix,jacobi-matrix,..\Image_Output\IMG_9431.jpg,source\images\albums\jacobi-matrix\0237_IMG_9431.webp,,IMG_9431,00:27.533
Intersection,intersection,..\Image_Output\DSC_8469.jpg,source\images\albums\intersection\0238_DSC_8469.webp,,DSC_8469,00:27.650
Yardstick Metric,yardstick-metric,..\Image_Output\IMG_9343.jpg,source\images\albums\yardstick-metric\0239_IMG_9343.webp,,IMG_9343,00:27.767
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_7076.jpg,source\images\albums\jacobi-matrix\0241_DSC_7076.webp,,DSC_7076,00:28.000
Mode,mode,..\Image_Output\DSC_7092.jpg,source\images\albums\mode\0242_DSC_7092.webp,,DSC_7092,00:28.117
Mode,mode,..\Image_Output\DSC_8559.jpg,source\images\albums\mode\0243_DSC_8559.webp,,DSC_8559,00:28.233
Intersection,intersection,..\Image_Output\DSC_8530.jpg,source\images\albums\intersection\0244_DSC_8530.webp,,DSC_8530,00:28.350
Mode,mode,..\Image_Output\DSC_7079.jpg,source\images\albums\mode\0245_DSC_7079.webp,,DSC_7079,00:28.467
Monomial,monomial,..\Image_Output\IMG_8890.jpg,source\images\albums\monomial\0248_IMG_8890.webp,,IMG_8890,00:28.817
Monomial,monomial,..\Image_Output\DSC_0701.jpg,source\images\albums\monomial\0249_DSC_0701.webp,,DSC_0701,00:28.933
Jacobi Matrix,jacobi-matrix,..\Image_Output\DSC_0993.jpg,source\images\albums\jacobi-matrix\0251_DSC_0993.webp,,DSC_0993,00:29.167
Mode,mode,..\Image_Output\IMG_9318.jpg,source\images\albums\mode\0254_IMG_9318.webp,,IMG_9318,00:29.517
Intersection,intersection,..\Image_Output\IMG_9330.jpg,source\images\albums\intersection\0255_IMG_9330.webp,,IMG_9330,00:29.633
